match_id,radiant_win
996797,1
996818,1
996794,0
996798,0
996793,1
996787,0
996770,0
996785,0
996784,1
996751,1
996773,1
996764,0
996761,0
996748,0
996750,1
996727,0
996737,1
996746,1
996742,1
996741,0
996739,1
996734,0
996731,1
996728,0
996706,0
996730,1
996704,0
996702,0
996703,0
996726,0
996719,0
996707,0
996695,0
996696,0
996736,1
996692,0
996705,1
996724,0
996716,1
996693,0
996721,1
996661,1
996682,1
996722,1
996681,1
996694,0
996678,1
996683,1
996675,1
996684,1
996635,0
996641,0
996651,0
996644,1
996653,0
996647,1
996657,0
996655,1
996632,0
996638,0
996639,1
996630,0
996636,0
996611,1
996629,1
996613,1
996634,1
996612,1
996625,0
996626,1
996628,1
996553,1
996588,0
996599,1
996602,0
996597,0
996600,0
996594,1
996593,0
996596,1
996586,0
996589,0
996560,1
996563,1
996577,0
996562,1
996564,1
996561,1
996585,1
996583,1
996565,0
996568,1
996575,0
996574,0
996580,1
996576,1
996544,1
996546,0
996543,0
996540,0
996542,0
996534,1
996532,0
996514,1
996525,1
996516,1
996515,0
996509,1
996487,0
996483,0
996467,0
996484,0
996486,0
996493,1
996482,0
996485,0
996497,0
996495,0
996503,1
996499,0
996479,0
996461,0
996458,0
996464,0
996476,1
996466,1
996454,0
996462,1
996463,1
996475,1
996469,0
996471,1
996477,0
996455,1
996456,0
996446,1
996432,1
996435,0
996425,1
996424,0
996411,1
996447,1
996439,1
996440,1
996410,0
996397,0
996417,0
996400,0
996402,1
996396,0
996386,1
996385,0
996384,1
996395,0
996393,0
996394,0
996368,0
996362,1
996377,0
996363,1
996376,1
996365,1
996372,0
996373,0
996374,0
996383,0
996380,1
996369,1
996318,1
996352,1
996359,1
996306,1
996340,0
996347,0
996342,1
996339,0
996345,1
996300,1
996310,0
996329,0
996297,1
996277,0
996328,1
996303,0
996315,0
996313,1
996280,0
996273,1
996267,1
996295,1
996269,0
996275,1
996270,1
996290,0
996288,0
996262,0
996261,0
996254,0
996260,0
996276,0
996257,1
996248,0
996237,1
996243,1
996239,1
996240,1
996234,1
996227,1
996246,0
996252,0
996225,0
996238,0
996253,0
996244,0
996214,1
996212,0
996242,0
996230,1
996209,0
996208,0
996191,0
996186,0
996175,1
996192,0
996189,1
996166,1
996181,0
996169,0
996158,0
996123,1
996139,1
996160,1
996165,0
996161,1
996132,1
996126,1
996121,0
996142,1
996118,0
